id,name,rent_median,percent_change,value,2012,2013,2014,2015,2016,rent_median2012,rent_median2012
05111,Düsseldorf,9.87,13.9,23,8.6575,9.055,9.1825,9.415,9.865,8.66,8.66
05112,Duisburg,5.47,9.3,21,5.005,5.06,5.195,5.3,5.47,5.0,5.0
05113,Essen,6.36,11.7,22,5.6925,5.79,5.925,6.01,6.36,5.69,5.69
05114,Krefeld,6.42,12.6,22,5.705,5.96,6.0375,6.205,6.4225,5.71,5.71
05116,Mönchengladbach,6.05,9.4,22,5.5325,5.565,5.7975,5.92,6.0525,5.53,5.53
05117,Mülheim an der Ruhr,6.38,11.4,22,5.7225,5.8175,5.99,6.0725,6.3775,5.72,5.72
05119,Oberhausen,5.71,10.5,21,5.1725,5.235,5.3675,5.4375,5.715,5.17,5.17
05120,Remscheid,5.52,5.2,11,5.2475,5.2975,5.33,5.4025,5.52,5.25,5.25
05122,Solingen,6.31,7.9,12,5.8475,6.0,6.0325,6.1525,6.3075,5.85,5.85
05124,Wuppertal,5.85,9.2,22,5.355,5.3925,5.51,5.58,5.85,5.36,5.36
05154,Kleve,6.14,8.1,12,5.68,5.7825,5.9825,6.005,6.14,5.68,5.68
05158,Mettmann,7.28,6.8,12,6.815,6.975,7.0325,7.1075,7.2775,6.82,6.82
05162,Rhein-Kreis Neuss,7.59,9.1,22,6.9575,7.1325,7.2825,7.4525,7.5875,6.96,6.96
05166,Viersen,6.38,7.3,12,5.9525,6.06,6.1825,6.2075,6.385,5.95,5.95
05170,Wesel,6.08,9.0,22,5.575,5.6975,5.75,5.915,6.075,5.58,5.58
05314,Bonn,9.27,11.6,23,8.3,8.49,8.7225,8.93,9.265,8.3,8.3
05315,Köln,10.1,14.8,33,8.7975,9.17,9.6025,9.9375,10.1,8.8,8.8
05316,Leverkusen,7.38,12.2,22,6.5725,6.7925,6.97,7.1375,7.3775,6.57,6.57
05334,Städteregion Aachen,7.47,18.1,32,6.3225,6.44,6.745,6.97,7.47,6.32,6.32
05358,Düren,5.93,12.0,22,5.2925,5.4175,5.49,5.7475,5.9275,5.29,5.29
05362,Rhein-Erft-Kreis,7.8,14.0,23,6.8475,6.955,7.2575,7.495,7.805,6.85,6.85
05366,Euskirchen,5.93,8.6,12,5.4625,5.5075,5.725,5.91,5.93,5.46,5.46
05370,Heinsberg,5.9,10.8,22,5.3225,5.45,5.5625,5.655,5.8975,5.32,5.32
05374,Oberbergischer Kreis,5.67,8.6,11,5.22,5.24,5.3425,5.495,5.67,5.22,5.22
05378,Rheinisch-Bergischer Kreis,7.61,9.7,22,6.93,7.0225,7.1275,7.225,7.605,6.93,6.93
05382,Rhein-Sieg-Kreis,7.35,11.4,22,6.5975,6.775,6.9325,7.075,7.3475,6.6,6.6
05512,Bottrop,6.03,5.2,12,5.735,5.5875,5.86,5.9225,6.0325,5.74,5.74
05513,Gelsenkirchen,5.22,10.9,21,4.705,4.805,4.9625,5.0,5.2175,4.71,4.71
05515,Münster,9.14,9.7,23,8.335,8.71,8.9,9.0725,9.145,8.34,8.34
05554,Borken,6.03,9.8,22,5.4925,5.625,5.725,5.9675,6.03,5.49,5.49
05558,Coesfeld,6.05,9.5,22,5.5225,5.57,5.71,5.83,6.0475,5.52,5.52
05562,Recklinghausen,5.53,8.2,11,5.115,5.19,5.2725,5.3475,5.5325,5.12,5.12
05566,Steinfurt,5.83,9.8,21,5.3125,5.385,5.5275,5.6975,5.835,5.31,5.31
05570,Warendorf,5.75,10.9,21,5.1825,5.26,5.4125,5.7225,5.745,5.18,5.18
05711,Bielefeld,6.7,14.7,32,5.8425,6.0875,6.2425,6.435,6.7,5.84,5.84
05754,Gütersloh,6.38,16.8,32,5.465,5.62,5.9275,6.05,6.385,5.46,5.46
05758,Herford,5.31,7.1,11,4.96,5.0,5.0,5.0525,5.3125,4.96,4.96
05762,Höxter,4.55,11.4,21,4.085,4.1625,4.365,4.46,4.55,4.08,4.08
05766,Lippe,5.46,9.2,21,5.0,5.11,5.2075,5.2925,5.46,5.0,5.0
05770,Minden-Lübbecke,5.61,12.6,21,4.98,4.9875,5.1175,5.375,5.6075,4.98,4.98
05774,Paderborn,6.49,18.2,32,5.4875,5.885,6.08,6.1875,6.4875,5.49,5.49
05911,Bochum,6.21,11.9,22,5.55,5.615,5.705,5.86,6.21,5.55,5.55
05913,Dortmund,6.41,20.8,32,5.3,5.4875,5.8175,6.04,6.405,5.3,5.3
05914,Hagen,5.16,6.6,11,4.8375,4.89,4.9275,4.99,5.155,4.84,4.84
05915,Hamm,5.69,13.8,21,5.0,5.0475,5.23,5.4425,5.6875,5.0,5.0
05916,Herne,5.44,9.3,21,4.98,5.025,5.175,5.265,5.4425,4.98,4.98
05954,Ennepe-Ruhr-Kreis,5.83,8.0,11,5.4025,5.42,5.58,5.6425,5.835,5.4,5.4
05958,Hochsauerlandkreis,5.03,9.7,21,4.5875,4.685,4.76,4.955,5.0325,4.59,4.59
05962,Märkischer Kreis,5.29,6.1,11,4.9825,4.9925,5.1225,5.21,5.285,4.98,4.98
05966,Olpe,5.99,11.1,22,5.395,5.555,5.545,5.7025,5.9925,5.39,5.39
05970,Siegen-Wittgenstein,6.18,6.7,12,5.7975,5.9125,6.025,6.085,6.185,5.8,5.8
05974,Soest,5.68,9.9,21,5.1725,5.39,5.445,5.4875,5.685,5.17,5.17
05978,Unna,5.57,11.3,21,5.0,5.0375,5.2375,5.35,5.5675,5.0,5.0
